index,text
60,"Mina ei ole anarhist ja ühiskonna vastane, ei kipu ma ka revolutsiooni tegema pooldaja olema."
61,"Siin ma aga piirdun ühe sellise asjaga, nimelt ühe aktuaalse eesti telesaatega."
62,Eriti huvitasid teda rahvausundede ja -kombede.
63,Vaatamata selle näevad miljonid naised iga päev ohut oma valikutele ja otsustele.
64,"Vaatame kaasagseid filme ning näeme, et kõik on meie elus lihtsalt kättesaatav ja selleks pole vaja suuri pingutusi."
65,"Kui artikkel on objektiivne, informatsioon on esitatud mitmekülgselt, siis võib näha mitut vaatepunkti ja teha omakäelise kokkuvõtte."
66,Agade pühapäeviti+ is ta vaikne ja puhkab kuke linngi.
67,"Mina vanemad rääkisid, et film on vahva, kuid minul ei olnud aimugi, kuidas reageerida, sest mul võiksid olla just täpselt vastupidised tunded selle filmi suhtes."
68,Suurt rolli mängivad ka kasutatavad väljendasisendid.
69,Ja võib-olla oleks mul palju aega õppimiseks ja ma oleksin parima õppija linnas.
70,Ära hiline loenguks ega tundi!
71,Vaataja pead ise näitlejad näoilmeid ja liigutusi jälgides ära arvama filmi sõnumi.
72,"Mina valdaks saksa, vene ja eesti keelt ning oskaks natuke inglise keelt."
73,"Me keskuses saavad noored üksteisega suhelda, pidusid ja matku korraldada, jagada oma teadmisi ja ühisteist aidata."
74,"Niisugune väljaütlemine meeldis mulle väga ja ma arvan, et jätan meelde sellised sõnad."
75,Väikeses maakohas elavad inimesed tunnevad üksteist väga hästi.
76,Voodist paremal pool on töölaud ja mugavat tugitooli.
77,"Jani kirik on kuulus sellepärast, et siin on nii palju terrakotas kujusid, kui õigesti mäletan, siis umbes 2000, aga mitte kõik neist ei ole kirikus."
78,"Nõnda tõlk ei võta ise vestlusest osa, kuid tema muudab osapoolte vahelise vestluse võimalikuks."
79,Ta on noor tüdruk ja hakkamba saab.
80,Raamatud on kõige jõukohasemad informatsiooniallikad.
81,"Ma arvan, et iga inimene, noor või vana, on erinev ja omamoodi, ja sellest ei sõltu misugusest rahvuselt ta on.
"
82,"On väga hirmus näha, et nii palju lapsed on jäänud üksi."
83,"Kui sa valdad võõrkeele, on sul teatud eelised, sa oled konkurentsivõimeline inimene, näiteks võid parema töökohta leida ja raha teenida."
84,"Me sõime küünlad valguses, sest elekter majas ei saanud olla."
85,"Mis puudutab keelt, siin siis oleme sarnased."
86,"Sissejuhatuse sirvisin ruttu läbi, sest see tundus mulle natuke tüütuks olevat."
87,Televisioon – mida see siis ikkagi on?
88,"Huvitav külg minu jaoks oli see, et kõik loengud olid eesti keeles."
89,"Inimene, keda mina pidasin oma paremaks sõbraks valetas kogu aeg minule."
90,"Kas kirjanduslik teks, milles räägitakse ilusas, veetlevas keeles, kus loomulikult puudub igasugune vihje roppusele, on vaieldamatult hääd?"
91,"Enne ülikoolis õppimist ma ei osanud üldse rääkida eesti keelt, nüüd ma julgesti suhtlen inimestega, teades, et minu kõne ei ole särav, et ma mõnikord teen väga laekas vigu, kui hakkan muretsema või kardan, et mul on suur aktsent. Kuid siis (ülikoolis) minul õpetati uskuma iseendasse ja oma võimetesse."
92,"Praegu sõidetakse autoga, vanasti ei sõitu nii palju autoga, vaid jalgrattaga."
93,"Kirjutan sulle kiri, et rääkida Jaani kiriku külastamise kohta."
94,Sellised näited mul ajavad harja punaseks.
95,See aitab mulle unustada kõik raskused või ebameeldivused.
96,Enne eksperimenti oli tema tervis korralikult väga hea.
97,"Ma ei taha öelda et inimene peab rääkima kõigile oma probleemidest lihtsalt inimesel peab olema inimene kellele ta võib rääkida sellest mis teda vaevab, sest minu jaoks on see lihtsalt õnnetu inimene kellel on see kellel ta võib rääkida üks kõik millest."
98,Soovitan seda raamatut lektüüris kõikidele kes õpivad eesti keelt võõrkeelena.
99,Mulle neid meeldis õpetada.
100,"Inimene võib oma eluga rahul olla, kuid talle tundub, et kogu aeg tema elu on siiski õnnetu."
101,"Ta peab uhket olema, et jumal andis talle niisuguse võimaluse."
102,Tänapäeval on lugemiseks inimestel valik suur kirjanduse.
103,"Inimesed, kes tundavad huvi ajaloo vastu, eelistavad just neid kohti, kust saab oma silmaga mõnda ajaloosündmusega seotud paika näha."
104,Laulupidusid korraldatakse ka praegu ning paljudest Eesti linnadest on olemas oma lauluväljakud.
105,"Aga mina arvan, et mida raskemad, seda paremad."
106,"Kui me oleme huvitatud oma ja meie riigi tulevikust, mingi teadusest või lihtsalt tahame kõike teada saada või midagi õppida, siis on meie jaoks alati ülikool."
107,Keegi teine ei suudaks näe minu undniägusid.
108,"On vigu, mis on iseloomulike vene emakeelega õppijatele."
109,"Agaa tõeline oskus ja anne avalduvad selles, kui nad oskavad seda teha ilma seda sõnadeta kasutamata."
110,Mul pole palju sõpru – ainult kaks ja nemad on pärit Tartus.
111,"Milleks on vaja komplitseerida laste elu erinevad katsetega, neid tuleb niigi üsna palju tulevikus."
112,"On vaja muuta süsteemi, aga ennast eelkõige."
113,Sellise informatsiooni ja teiste meid huvitavate asjade võib lugu saada sellest raamatust.
114,"Kui esimest korda oli kuskil vaja trükkida uus sõna, andis ta sellele ka seletuse."
115,"Mõned inimesed arvavad, et raha on õnneks kõikide oluliste asjade. Nad arvavad, et raha eest saab kõike ostma."
116,"Kuna tegemist on valikose koodiga, siis ma ei suuda genereerida juhuslikke vigu."
117,"Seda peab tegema ja mitte sellepärast, et kunagi nii vanaema ütles, vaid selleks, et teha seda, mis on sulle parem, leida endale see, mida kindlasti teha tahad."
118,"Nagu muinasjuttudes alati juhtub, vennad saavad valesti teada ja kui nende õde näitab nende jaoks tehtud kindaid, viivad nad oma õe koju."
119,"Teiseks, tuleb rajada mitmesugused organisatsioonid, mis kaitsevad looduse."
120,"Lehekandjad ei käiu enam jalgsi, selleks on spetsiaalsed autod. Nad ei pea enam käimava trepist üles ja alla, sest igas majas on postkastid."
121,"Nad on vaid kolmeküünmeaastased, aga nende tervises on nagu inimeses, kes on 60-aastane."
122,Enamasti ei ole metshaldjaid ei näha.
123,"Rõõmustasin, kui nägin, et ehitatakse uusi ilus hooneid, et linn kaunistati jõuludeks, et pimeduse saabumine muutus Tartu romantiliseks, säravaks ja salapärane linn."
124,"Nüüd tuli raske otsus teha, kuhu edasi õppima minna."
125,Väikses maakohas on kõik tuttavad.
126,"Ma arvan, et sellist lugu on võimalik pidada tõeliseks muinasjutuks, kuna sellised lood juhtuvad äärmiselt harvasti."
127,"Haridus mängib meie elus väga suurt rolli. Praegu on progressi aeg - kõik täiustub, uus tehnoloogia areneb. Kas seda aega oleks ilma haritud inimeseta?"
128,"1939.aasta lõppus Soomes algus Talveõda ja Soomeselt Eestimaa enamabi ei oodanud, vaid proovis ise põhjanaabrit aidata."
129,"Iga ühe inimene unistab pärast kooli lõpetamist ülikooli õppima minemisest. Aga ülikooli ei astu mitte kõik, vaid ainult parimate."
130,"A. H. Tammsaare tõestas oma novellis ""Itaalia reis"" täpselt seda. Vanapaari jaoks Itaalia reis oli selleks tugevaks sidemeks, mis aitas alguses teineteist kohata ning aitas säilitada selle oma tundeid elu lõpuni."
131,Kas sport sind huvitab?
132,Minu lapsepõlve lemmikraamat rääkis koera truuduset oma peremehel vastu.
133,"Selle kirjandi põhiküsimuseks on, kas sisseastumiseksamid peaksid põhikoolis kaotama või mitte."
134,"Liiga ranke karistusi ei saa määrata, kuna inimesi on palju, aga vanglas on kohti vähe."
135,"Seetõttu, et kirik mängis tähtsalt rolli inimeste elus, oli vaja rohkem inimesi, kes oskavad lugemist."
136,"Ma ei tea täpselt, milliseid on need programmid, mida saab vaadata hommikul vara."
137,"Selleks, kõik soovitud eesmärgid saavutada, on vaja paljudest raskustest, takistustest ja probleemidest üle saada."
138,Nad häbenevad arsti pöörduda poole ja oma vaimsetest probleemidest rääkida avalikult.
139,"Ja kui ma leiks töö, ka siis prooviks uuesti ülikooli astuda, sest meie aega on väga tähtis lõpetada ülikool."
140,"See tõstaks tunduvalt turisti arvu, näha omakorda mõjutaks positiivselt valla arenemist."
141,"Juba väikene peab ta teadma oma tulevikku ja püüdma saada liidriks, osalema konkursidel, kuid mitte nautima maailma."
142,Pärnus andis ta välja eestikeelne ajaleht „Pärnu Postimees ”.
143,"Kus ma ka ei oleks, harus alati tee mulle meeles."
144,"Ei oleks mõtet püsitada mälestussammast, kui kõik käiksid sellest mööda ja ei teaks kes need kolmme meest olid."
145,"Ta peab omama head suhtlemisoskust, oskab väljendama oma mõtteid."
146,"Ajakirjanikule mujale see ei meeldinud ja tema kirjutas oma artikli, kus oli subjektiivse teksti."
147,Võib-olla sellepärast ei ole suures linnas kurikuritegude haruldased juhtumid.
148,"Sellepärast on ka parem, kui keegi ikka sellistest asjadest kirjutab ja me saame sellest lugeda."
149,"Aga ta teeb oma töös tohutult palju vigu, ei oska inimestega suhelda, midagi arusaadavat seletada, jätab tihti oma töö pooleli."
150,"Vene inimesed aga elavad külades, kus on palju inimesi ning nad on harjunud kõik mitmekesi teginud."
151,"Lilianil hakkas ajalugu meeldima viiendas klassis, kus ta käis alevi keskkoolis."
152,"Minu arust peab igaüks ise mõtlema ja otsustama, mida ta selles elus vajab ja missugused eesmärgid tal on varem seadnud."
153,"Tänapäeval on olemas ringid, kus inimesed õpivad ühe teist ära kuulama ja üksteisest aru saama."
154,Ükskord oli mul vaja sõida haiglase ja minu lapselapse sõbranna Olga pakkus et võib mind kohale viia.
155,Tõôt piisab - tema ühes päevas võib olla isegi kuus erinevad tõlkimist.
156,"Kuid peab kindlasti ütlema seda, et viimasel ajal ei ole populaarteateuslikud või kultuurilised programmid eriti populaarsed – need ei ole ju kommertslikud ja seetottu näidatakse neid üha harvemini."
157,Ning minu arvesst just sellel pärast avastas see poiss enda eest ajaloo võluv maailma.
158,"Näitex, kui mina olen 13-aastane, suri minu sõbranna haiguse tõttu."
159,"Sellel nädalal ma tutvusin ka ülikooli raamatukoguga, millel avaldas muljet. See on väga suure ja seal on suur valiku raamatuid."
160,"Mul juhtunud niinmooodi, et mult varastas ära käekoti, kuid ma ei hakanud nutma, vaid tegingi kõik uued dokumendid, ostin uue käekoti ja praeguseks on kõik korras."
161,"Mõnikord, kui inimesed tunnevad ennast õnnelikena, kardavad nad oma õnne kaotada."
162,"Mulle ka väga meeldib, et kogu majas on imehea kaitsesüsteeem."
163,"Praegu ma olen kõigega leppinud, ma olen saanud teada raskusi, mis mul veel ees on, sooritamata aineid (nagu sissejuhatus filosoofia ajalukku) ja see mind praegu hirmutama."
164,Ilukirjanduse lugemisel on eesti keelest arusaamist lihtsam ja eesti keel ise tundub arusaadavam kui eesti keele grammatika õppimisel.
165,Eriti samm märgatav edasi toimunud on viimasel sajandil.
166,See julgustas töö tele.
167,"Jah, see on küll ilus aga kuidas tunneb ennast see inimene, kes peab iga päev niiteks vara tõusma ja minema näiteks niitma?"
168,"Õnnelik inimene leiab samasooti inspiratsiooni ja nautimist kultuurist, kirjandusest, teatrist."
169,"Ma olin üheksateistkümneaastane Tartu ülikooli teise käigu üliõpilane, kui leidsin lõpuks endale kindel töökoht."
170,"Kahju küll, et meie targal valitsus kavatseb tulevikus luua kõrghariduse, mis on tasuline. Mingis mõttes suurendab see kõrghariduse kaalu ja hinda tööturul."
171,"Aga tema ei saa aru, et tema poega on ju nii väike, et ei pane seda kõnet üldse tähele."
172,"Neiitudel karjatataksida lehmad, vasikad või lambad, õues käivad ringi kanad, kasvab teravili."
173,Kadripäevaks või mardipäevaks tapeti lammas.
174,"Ta töödab, peab hommiktuti väga vara voodist ära tõusma, lapsele süüa tegema ja ta lasteaeda viima."
175,"Aga mõned arvavad, et kui nad räägivad kellelegi oma problemidest siis neile on lihtsam leida lahendusi."
176,Sõda algas 1700 a kui oli suur lahing Narva jõe ääres.
177,Nendest riikidest elavad inimesed kõige paremini.
178,"See üritus on vaatamist väärt ja kui keegi tahab eesti kultuuriga lähemalt tutvata, siis ma soovitaksin laulu- ja tantsupidu kindlasti käia."
179,"Uurringu aluseks on võetud kühitlus, kust selgus, enimik pealinna noortest mõtleb Tallinnast kui arenevvast, ohtlikust ja kasvavast, aga ka tõusvast ja kiirest linnast."
180,Täna päeva elu on liiga raske ja keeruline.
181,"Hooladjal on õigus tulla, millal ta tahab ja siseneda igasse ruumisse."
182,"Tüüpilised on rektsiooniviga, seda lihtsalt sellepärast, et vene keeles on samadel verbidel teised rektsioonid."
183,"Selle pärast pole töötajad peamiselt rahul sellega, kuidas nende tervishoiusüsteem tegutseb."
184,Mõned õpetajad oma juttu tõlgib emakeelde pidevalt õpilastele.
185,"Koeraomanik aga seisma jäi, sest ei teadnud mida teha, kas helistada politseile või joosta oma koerale järele."
186,"Tänapäeva naine, kellel mees, lapsed, majapidamine sõltub täielikult temast, peab käima ka tööl sellest, et teenida raha, niisiis et ta saaks lubada endale olla sõltumatu oma mehe rahast."
187,"Noo, sellega võivad paljud nõustuda, sest raha annab palju võimalusi meie elus ja osta saab peaagu kõike, aga mitte tervist."
188,Autori vältel õpikud on väga mahukad ja nende koostamine keeruline.
189,"See on täiesti loomulik, et mees ägestus."
190,Kui võtta sajand meie siis on asi raskem.
191,"Rektsioonid on vaja pähe õppida, aga kõikide aegadega kiputakse vene keele reeglite järgi kirjutama."
192,"Aga pärisüliõpiline peab olema kindel ning uskuma, et ta saab kõikide asjaoludega hakkama."
193,"Võib-olla mina eksin, aga arvan, et me teeme suure vea, kui lapsele surume peale usku."
194,"Kui harjud sellega juba lapsepõlvest, siis on tulevikus kergem."
195,"Seoses sellega kaotab paljud asjad oma aktuaalsuse, inimesed ei vaja neid enam."
196,"Elus peab olema nii nimetatud tugiisik, kellele saagad isegi kell neli hommikul helistada ja oma murest rääkida."
197,Praegune lava on ehitatud 1960ndate aastatel.
198,On olemas kolmas variant: õpinguid jätkata ja minna tööle.
199,"Oleks hea, kui sa kord oled juba omandanud teadmisi ja täiendaksid neid veel mingi kümnes, kahekümne aasta jooksul."
200,"Kõrghariduse on hea elueesmärk, aga et seda valmistumiseks saavutada, on selleks vaja hoolega."
201,"Ta teab, et tema elus ükski pole keegi, kellega koos võiks vananeda."
202,"Minu ees on kogu elu ja mul on palju aega ning võimaluste, millest võib kinni haarata."
203,"Luiile, kes on maakohas üles kasvanud, tundus veider, et lapse võib niimoodi riigile ära anda."
204,"Praegu elavad rõõmsad nad ja väga õnnelikud, et neil on selline suur armastus."
205,"Jõgevamaa, elavad peamiselt eestlased, venelasi on siin vähem."
206,"Otse loomulikult meie riigis on probleeme, mis võiksid olemata olla, kuid mulle tundub, et kõik on ületav, oleks vaid tahtmine midagi oma elus muuta ja piisavalt tahtejõudu et oma unistused teoks teha, siis kindlasti saab kõik korda."
207,Igale lapsvanemale on oma laps kõige paremasse.
208,Käisime autoga Venemaal sugulastele külas.
209,"Siin ei tule juttu muinasjutust, vaid sellest, mis tõsiselt meie elus iga päev toimib, isegi siis, kui see meid ei puuduta."
210,"Kuri vaim võib tuua õnnetusi, hea vaim ei puutu inimest esimesena seni, kuni ta suhtlemist ise ei alusta."
211,"Minu arvates on haritud inimene see, kes oskab inimestega suhelda, kes on alati valmis teisi aidama, ühesõnaga oma hingelt puhas ning heatahtlik inimene ja „kameeleonideles“ selles määratluses kohta ei ole."
212,"Näitek, tänapäeva maailmas kõlab väga kõvasti sõna „demokraatia”."
213,See on meid Eestis ümbritsev keel siin.
214,"Minu kodu asub väga ilusas kohas. Ühest poolest on mäed, kust on näha kogu küla nagu pea peal."
215,"Kogu probleem ei seisne ainult migratsiooni kasvamises, vaid ka pingelises majanduses, poliitilises ja sotsiaalses süsteemis."
216,"Kui vaadame neid aega, siis Rootsi võimu alla sai luterlikku kirikut Eestis kindlasti kindlalt jalad alla."
217,"Minu elus olid palju positiivsed sündmused, näiteks ükskord sain ma esimese koha ühel võistlusel, see oli väga tore, ma olin väga õnnelik."
218,__flagged__
219,"Eesti keele õppimisel venelased teevad päris palju vigu ja see on loomulik, sest meie keeled on grammatiliselt väga erinevad."
220,Kuid minu arvates saab õpetajate kompetents ja professionaalsus kõige suuremaks probleemiks.
221,"Nad ei käi isegi väljas. Iga inimene peaks iga päev natuke väljas käima mängimas või jalutamas, mitte ainult istuma tugitoolis ja vaatama, kuidas teised mängivad."
222,"Tahtsin ka diktofonit osta, aga kõik laabus ilma selletagi."
223,"Asi oli sellega, et just nende programmide abil sain ma teada paljudest asjadest, need aitasid minul, uudishimulikul tüdrukul oma silmaringi laiendada, saada natukene targemaks, hakata mõtlema selle üle, missugune on meie elu, miks ja kuidas kõik toimub, mida võib elus saavutada, kuidas seda „midagi“ saavutada jne."
224,"Agama mind ta nagu ei märganud enam, ainult ülistas ennast."
225,"Kahekümnenda sajandi üheks tõsisemaks tulemuseks on võimalus äri ajada otseste võrdõiguslike sidemete baasil, mida võiks lühidalt nimetada võrguks."
226,Mair tunneb huvi kirjanduse vastu.
227,"Kõik, isegi kõige kinnisemad inimesed leidsid endale palju uusi sõpru erinevatest riikideste."
228,Praegu meile oleme kirjavahetuses.
229,"Saaremaal elab umbes 40 000 inimest, rahvuselt on kõige rohkem eestlasi, seega räägitakse ennekõike eestlaste keeles."
230,Kõigepealt esitaksin mina sellise küsimuse – millised võimalused võib kõrgharidus mulle anda?
231,Õnneks keeleinspektsioon võitleb selllega.
232,"Ma arvan, et sellise küsimuse, vaevab suurem osa tudengitest."
233,"Ma ise kuulun nende inimeste hulka, kes veel pole välismaal käinud."
234,"Jaani mõtted, et küll on hea, et tal on niisugused truud sõbrad ja ilus mõte, et tal on jalgratas."
235,"Praegu saan ma oma kodust ainult unistada, kuid milline tema on, ei tea mitte keegi."
236,"Kui mul oleks oma korter, siis võiksin ma teha kõike."
237,"Ma ei oska täpselt vastata, aga võib-olla see lihtsalt on harjumus, aga võib-olla ka meedia mõju."
238,"Ta on vanapaks arhitekt, tema naine on juba abielunud uue mehega, ta elab ilma oma lasteta eraldi."
239,"On teada, et sõnum võiks olla nii hea või halb. Raske on öelda, milliseid sõnumeid me oleme rohkem saanud, aga kindlasti on teada, et halb sõnum tooks endaga kaasa õnnetusi ja katastroofe."
240,Töölt tulles astusin poe läbi.
241,Kriminaalsus on ühiskonna lahendamata probleem.
242,Ma pöördun teie poole palvetega.
243,"Inimese arengule on esmatähtis osata korralik üht keelt, aga kuidas õppida, kui kodus räägitakse korraga kolme keelt?"
244,Väga raske on töö leida ning mehed on ebanormaalset.
245,"Ta istub kodus, nutab, et ta elu on muutunud möttetuks, naine jätnud ta maha ja üldse ei taha ta enam elada."
246,Näitena võin rääkida oma vennast kes kolis omal ajal Tallinnasse
247,Saaremaa on rikas liikide saarest.
248,"Lehe raamatu on kasulik lugeda kõikide üliõpilaste, kes õpivad eesti keelt."
249,"Ta püüdleb selle poole, et saavutada hea olu ennast ja tema ligimeste jaoks."
250,Veebruari alguses levis meedias Eesti haridusministeeriumi kavatsus keelata koolidel katsed õpilaste vastuvõtuks esimesse klassi.
251,"Kui ilus varahommik on, kui päike alles tõuseb!"
252,"Vanasti veedeti aeg õues, nüüd ei veedeta."
253,"Kõigepealt mõeldake meediast all ajakirjandut, kuid siia võib liigitama ka mitmeid erinevaid reklaamvorme."
254,"Ja vaadates oma lapsi, kellel pole midagi süüa ja selga panna, kas te ei mõtleks rangemast karistusest selle röövli jaoks?"
255,Aga üheksakümnendate algul algas kiire arvutisüsteemide arendus ja interneti massiivne levimine maailmas.
256,"Agan ma ei sa aru kõigest, sest mitte oskama eesti keelt väga hästi."
257,Mõnikord annab ema oma elu ohverdades elu uuele inimeseles.
258,"Kuldkalake annab noorele paarile võimaluse kohtuda vaimuhaige inimesega, kellel on suur kogus raha, ja paneb nende armastuse proovile."
259,"Praegune koolisüsteem annab võimaluse astuda ülikooli kõigile. Kõige tähtsam on leida eriala, mis huvi pakub sulle, küsida endalt, milleks sa tahad tegeleda tulevikus."
260,Meie kauplused pakuvad tänapäeval terve hulk erinevaid raamatuteid.
261,Iga laps leiab endale mida tal on vajadus ja mis teda huvitab.
262,Põhjuseks võib olla mitte enda maksmapanek.
263,"Olen väga õnnelik, et astusin ülikooli ja teen kõik mis võimalik, mida saan."
264,"Mul on nüüd palju rohkem vaba aegu, kuna otsustasin sel semestril mitte töötada, et ennast täielikult oma õpingutele pühendama."
265,Nad on sunnitud iga päeval tablette sisse võtma ja ei kujuta enam endale ette oma elu ilma nendeta.
266,"Selles küsimuses ettevõte ei pööra kõikidele asjadele tähelepanu, seades eesmärgiks rahalise sissetuleku ja siiski soovides, et tal on hea maine inimese silmis."
267,1917. aastal okupeeris Saksa vägi saared.
268,"Väikses kohas inimesed tunnevad teineteist väga hästi, teavad, kes missugune inimene on ja mida temast võib oodata."
269,Pärast kompromissi leidmist nõuti kliendit allkirja masina korrasoleku kohta ning müüdi masin teisele inimesele.
270,"Ma ei hakka kohe kirjeldama, kui tore on kõik keeled vallata või vähemalt mingi ettekujutus nendest omada."
271,"Võib arvata, et kuipealise diplomi saavad, lõpeb nende haridustee. Aga see on vale veendumus - haridustee alles algab."
272,"Aga ta ei kunagi saa olla ette kindel, et need tuttavad teda raskes olukorras maha ei jäta."
